Fish,MorphSex,PreSize_mm,PostSize_mm,Tank,Population,FoodCondition,Shelf_Location,Day14_Chase,Day14_Charge,Day14_ParallelSwim-I,Day14_TransverseApproach,Day14_AttemptedCopulation,Day14_SexDisp_Cwrap,Day14_SexDisp_FrontShimmy,Day14_Nip,Day14_InitiatingMatingBehaviors,Day14_Stay,Day14_Backup,Day14_Retreat,Day14_Glide,Day14_Dart,Day14_ParallelSwim-R,Day14_ResponseMatingBehaviors,Day14_Chase_s,Day14_ParallelSwim-I_s,Day14_ParallelSwim-R_s,Day14_Refuge_s,Day14_OutofFrame_s,Day1_Chase,Day1_Charge,Day1_ParallelSwim-I,Day1_TransverseApproach,Day1_AttemptedCopulation,Day1_SexDisp_Cwrap,Day1_SexDisp_FrontShimmy,Day1_Nip,Day1_InitiatingMatingBehaviors,Day1_Stay,Day1_Backup,Day1_Retreat,Day1_Glide,Day1_Dart,Day1_ParallelSwim-R,Day1_ResponseMatingBehaviors,Day1_Chase_s,Day1_ParallelSwim-I_s,Day1_ParallelSwim-R_s,Day1_Refuge_s,Day1_OutofFrame_s
Aang,SM,20.1,dead,Appa,F+SM,Food,Bottom,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,2,4,0,5,2,13,16,2,0,0,13,0,31,0,0,0,479.073,22.25
Wendy,F,23.57,23.05,MysteryShack,F+OM,NoFood,Bottom,0,0,0,0,0,0,0,1,1,30,3,0,0,21,0,54,0,0,0,988.771,128.439,0,0,2,2,0,0,0,3,7,130,17,5,0,163,4,319,0,2.752,7.503,413.153,0
Mable,F,27.53,28.63,MysteryShack,F+OM,NoFood,Bottom,0,0,0,0,0,0,0,0,0,41,15,0,0,44,3,103,0,0,5.071,351.14,249.519,0,0,0,0,0,0,0,1,1,39,2,8,1,64,5,119,0,0,6.252,707.957,0
Calcifer,F,31.29,31.73,HowlsMovingCastle,F+OM,NoFood,Top,0,0,1,0,0,0,0,0,1,10,2,1,0,11,5,29,0,2.754,9.753,247.262,241.308,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,4,0,0,2.506,363.609,357.682
Sofi,F,22.74,23.2,HowlsMovingCastle,F+OM,NoFood,Top,0,0,0,0,0,0,0,0,0,8,1,0,0,5,3,17,0,0,5.1,53.907,435.435,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0.25,20.011,1146.051
Lefty,F,24.54,24,Robinsons,F+OM,NoFood,Bottom,0,0,0,1,0,1,7,0,9,14,1,0,0,14,0,29,0,0,0,130.135,879.61,0,0,0,6,0,0,1,1,8,41,11,3,1,61,6,123,0,0,7.763,49.92,756.636
Frankie,F,23.12,22.49,Robinsons,F+OM,NoFood,Bottom,0,0,0,0,0,0,0,0,0,23,6,0,0,23,0,52,0,0,0,533.991,329.113,0,0,0,2,0,0,0,0,2,62,20,2,1,85,2,172,0,0,2.75,439.702,207.69
TheDoctor,F,27.94,28.3,TARDIS,F+SM,NoFood,Top,0,0,1,2,0,0,1,0,4,0,1,8,0,3,0,3,0,0,0,182.702,583.311,14,4,0,0,0,0,0,0,8,8,2,47,0,8,0,5,33.803,1.5,0,390.443,349.035
RoseTyler,F,22.21,22.99,TARDIS,F+SM,NoFood,Top,0,0,6,5,0,0,0,0,0,0,0,2,0,1,2,22,0,0,0,97.747,720.485,1,0,1,2,0,0,0,0,2,0,0,2,0,0,0,45,1.499,0,1.25,216.953,353.784
Waddles,OM,28.62,28.63,MysteryShack,F+OM,NoFood,Bottom,0,0,0,10,0,6,36,0,4,1,0,0,0,0,0,12,0,4.002,0,951.691,160.902,0,0,13,58,0,0,95,0,0,1,0,0,0,0,0,65,0,0,0,791.822,0
Markl,OM,30.49,30.12,HowlsMovingCastle,F+OM,NoFood,Top,2,0,2,23,0,10,67,0,11,0,0,0,0,0,0,5,2.497,9.251,3.599,92.536,426.178,2,0,11,75,0,48,93,3,3,0,0,0,0,0,2,2,2.749,0.755,0,280.917,246.18
Goob,OM,28.5,30.22,Robinsons,F+OM,NoFood,Bottom,0,0,6,2,0,2,0,0,52,0,0,0,0,0,0,1,0,0,0,228.926,413.869,1,0,1,1,0,0,0,0,166,0,0,0,0,0,0,1,2,20.316,0,201.004,99.803
Dipper,OM,32.12,32.3,MysteryShack,F+OM,NoFood,Bottom,3,0,0,1,0,0,3,0,102,2,0,0,0,1,0,0,12.558,2.749,0,427.879,207.83,23,26,1,2,0,0,2,3,230,2,2,0,0,1,0,2,48.716,16.781,2.251,291.194,0
Howl,OM,40.3,38.67,HowlsMovingCastle,F+OM,NoFood,Top,4,0,0,0,0,0,0,0,10,8,3,2,0,9,0,0,4.754,16.286,0,78.57,902.838,0,1,0,1,0,0,0,1,2,10,3,6,1,24,1,0,0,2.75,0,346.537,775.532
MickeySmith,SM,20.44,21.56,TARDIS,F+SM,NoFood,Top,1,0,0,2,1,0,5,0,8,4,2,0,0,0,0,6,3.503,0,0,595.12,0,0,0,0,1,0,0,0,0,1,1,3,0,0,10,0,14,0,0,0,36.651,966.273
CaptainJackHarkness,SM,23.96,dead,TARDIS,F+SM,NoFood,Top,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,2,3,0,2,0,7,4,7,1,0,14,0,26,0,0,0,469.944,94.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
